Service,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,PreviousSdkPr,Comment
Azure Storage Actions,Microsoft.StorageActions,storageactions,Done,AlreadyTypeSpec,,,,specification/storageactions/StorageAction.Management/tspconfig.yaml,2023-01-01,sdk/resourcemanager/storageactions/armstorageactions,2023-01-01,,,
Bing Search APIs,Microsoft.Bing,bing,,NO_SPEC,,,,NoSpec,,,,,,
Reservations RP,Microsoft.BillingBenefits,billingbenefits,,Done,,,VersionNotEqual,specification/billingbenefits/BillingBenefits.Management/tspconfig.yaml,2025-12-01-preview,sdk/resourcemanager/billingbenefits/armbillingbenefits,2022-11-01,,,
Azure Device Provisioning Service,Microsoft.Devices,deviceprovisioningservices,Done,AlreadyTypeSpec,,,,specification/deviceprovisioningservices/resource-manager/Microsoft.Devices/DeviceProvisioningServices/tspconfig.yaml,2025-02-01-preview,sdk/resourcemanager/deviceprovisioningservices/armdeviceprovisioningservices,2025-02-01-preview,,,
Azure DNS Public Zones,Microsoft.Network,dns,,Premium,,,,specification/dns/resource-manager/Microsoft.Network/Dns/tspconfig.yaml,2023-07-01-preview,sdk/resourcemanager/dns/armdns,2023-07-01-preview,,,
Azure Edge Hardware Center,Microsoft.EdgeOrder,edgeorder,Done,Done,,,VersionNotEqual,specification/edgeorder/resource-manager/Microsoft.EdgeOrder/EdgeOrder/tspconfig.yaml,2024-02-01,sdk/resourcemanager/edgeorder/armedgeorder,2021-12-01,,,
SRP,Microsoft.ElasticSan,elasticsan,Done,AlreadyTypeSpec,,,VersionNotEqual,specification/elasticsan/resource-manager/Microsoft.ElasticSan/ElasticSan/tspconfig.yaml,2024-07-01-preview,sdk/resourcemanager/elasticsan/armelasticsan,2025-09-01,,,
Azure Automanage,Microsoft.GuestConfiguration,guestconfiguration,,Done,,,VersionNotEqual,specification/guestconfiguration/resource-manager/Microsoft.GuestConfiguration/Assignments/tspconfig.yaml,2024-04-05,sdk/resourcemanager/guestconfiguration/armguestconfiguration,2022-01-25,,,
Azure Dedicated HSM,Microsoft.HardwareSecurityModules,hardwaresecuritymodules,Done,AlreadyTypeSpec,,,,specification/hardwaresecuritymodules/resource-manager/Microsoft.HardwareSecurityModules/HardwareSecurityModules/tspconfig.yaml,2025-03-31,sdk/resourcemanager/hardwaresecuritymodules/armhardwaresecuritymodules,2025-03-31,,,
Microsoft Diagnostics RP,Microsoft.Help,help,Done,Done,,,,specification/help/resource-manager/Microsoft.Help/Help/tspconfig.yaml,2024-03-01-preview,sdk/resourcemanager/selfhelp/armselfhelp,2024-03-01-preview,,,
Kubernetes Connect Service,Microsoft.Kubernetes,hybridkubernetes,Done,Done,,,,specification/hybridkubernetes/HybridKubernetes.Management/tspconfig.yaml,2024-12-01-preview,sdk/resourcemanager/hybridkubernetes/armhybridkubernetes,2024-12-01-preview,,,
Planned Maintenance,Microsoft.Maintenance,maintenance,,Done,,,,specification/maintenance/resource-manager/Microsoft.Maintenance/Maintenance/tspconfig.yaml,2023-10-01-preview,sdk/resourcemanager/maintenance/armmaintenance,2023-10-01-preview,,,
Azure Notification Hubs,Microsoft.NotificationHubs,notificationhubs,,Done,,,,specification/notificationhubs/resource-manager/Microsoft.NotificationHubs/NotificationHubs/tspconfig.yaml,2023-10-01-preview,sdk/resourcemanager/notificationhubs/armnotificationhubs,2023-10-01-preview,,,
Azure DNS Private Zones,Microsoft.Network,privatedns,,Premium,,,,specification/privatedns/resource-manager/Microsoft.Network/PrivateDns/tspconfig.yaml,2024-06-01,sdk/resourcemanager/privatedns/armprivatedns,2024-06-01,,,
Azure Site Recovery,Microsoft.RecoveryServices,recoveryservices,,AlreadyTypeSpec,,,,specification/recoveryservices/resource-manager/Microsoft.RecoveryServices/RecoveryServices/tspconfig.yaml,2025-02-01,sdk/resourcemanager/recoveryservices/armrecoveryservices,2025-02-01,,,
SQL IaaS,Microsoft.SqlVirtualMachine,sqlvirtualmachine,Done,Done,,,VersionNotEqual,specification/sqlvirtualmachine/resource-manager/Microsoft.SqlVirtualMachine/SqlVirtualMachine/tspconfig.yaml,2023-10-01,sdk/resourcemanager/sqlvirtualmachine/armsqlvirtualmachine,2022-08-01-preview,,,
Liftr-Confluent,Microsoft.Confluent,confluent,,AlreadyTypeSpec,,,VersionNotEqual,specification/confluent/Confluent.Management/tspconfig.yaml,2024-07-01,sdk/resourcemanager/confluent/armconfluent,2025-08-18-preview,,,
Azure Bot Service,Microsoft.BotService,botservice,,Done,,,VersionNotEqual,specification/botservice/resource-manager/Microsoft.BotService/BotService/tspconfig.yaml,2023-09-15-preview,sdk/resourcemanager/botservice/armbotservice,2022-09-15,,,
Fabric Platform MWC,Microsoft.PowerBIdedicated,powerbidedicated,Done,Done,,,,specification/powerbidedicated/resource-manager/Microsoft.PowerBIdedicated/PowerBIDedicated/tspconfig.yaml,2021-01-01,sdk/resourcemanager/powerbidedicated/armpowerbidedicated,2021-01-01,,,
Azure Advisor,Microsoft.Advisor,advisor,,Done,,,VersionNotEqual,specification/advisor/resource-manager/Microsoft.Advisor/Advisor/tspconfig.yaml,2025-05-01-preview,sdk/resourcemanager/advisor/armadvisor,2020-01-01,,,
CDN Management Service,Microsoft.Cdn,cdn,,Premium,,,VersionNotEqual,specification/cdn/resource-manager/Microsoft.Cdn/Cdn/tspconfig.yaml,2025-06-01,sdk/resourcemanager/cdn/armcdn,2024-02-01,,,
Azure Confidential Computing Ledger,Microsoft.ConfidentialLedger,confidentialledger,,Done,,,VersionNotEqual,specification/confidentialledger/resource-manager/Microsoft.ConfidentialLedger/ConfidentialLedger/tspconfig.yaml,2025-06-10-preview,sdk/resourcemanager/confidentialledger/armconfidentialledger,2024-09-19-preview,,,
DataBox Pod & Disk Service,microsoft.databox,databox,,Done,,,VersionNotEqual,specification/databox/resource-manager/Microsoft.DataBox/DataBox/tspconfig.yaml,2025-07-01,sdk/resourcemanager/databox/armdatabox,2025-02-01,,,
Liftr-Datadog,microsoft.datadog,datadog,,Done,,,VersionNotEqual,specification/datadog/Datadog.Management/tspconfig.yaml,2025-06-11,sdk/resourcemanager/datadog/armdatadog,2023-01-01,,,
Backup (MAB),Microsoft.DataProtection,dataprotection,,AlreadyTypeSpec,,,,specification/dataprotection/resource-manager/Microsoft.DataProtection/DataProtection/tspconfig.yaml,2025-07-01,sdk/resourcemanager/dataprotection/armdataprotection,2025-07-01,,,
DevCenter,Microsoft.DevCenter,devcenter,,Done,,,VersionNotEqual,specification/devcenter/DevCenter.Management/tspconfig.yaml,The 2025-07-01-preview API version.,sdk/resourcemanager/devcenter/armdevcenter,2024-02-01,,,
Azure DNS Private Resolver,Microsoft.Network,dnsresolver,,AlreadyTypeSpec,,,VersionNotEqual,specification/dnsresolver/resource-manager/Microsoft.Network/DnsResolver/tspconfig.yaml,2025-05-01,sdk/resourcemanager/dnsresolver/armdnsresolver,2025-10-01-preview,,,
Liftr-Elastic,Microsoft.Elastic,elastic,Done,Done,,,,specification/elastic/Elastic.Management/tspconfig.yaml,2025-06-01,sdk/resourcemanager/elastic/armelastic,2025-06-01,,,
Microsoft Health Agent - HealthBot,Microsoft.HealthBot,healthbot,Done,AlreadyTypeSpec,,,VersionNotEqual,specification/healthbot/HealthBot.Management/tspconfig.yaml,2025-05-25,sdk/resourcemanager/healthbot/armhealthbot,2025-11-01,,,
Azure Key Vault,Microsoft.KeyVault,keyvault,Done,AlreadyTypeSpec,,,,specification/keyvault/resource-manager/Microsoft.KeyVault/KeyVault/tspconfig.yaml,2025-05-01,sdk/resourcemanager/keyvault/armkeyvault,2025-05-01,,,
Managed Service Identity,microsoft.managedidentity,msi,,Premium,,,,specification/msi/resource-manager/Microsoft.ManagedIdentity/ManagedIdentity/tspconfig.yaml,2024-11-30,sdk/resourcemanager/msi/armmsi,2024-11-30,,,
Azure Database for MySQL - Flexible Server,microsoft.dbformysql,mysql,,Done,,,VersionNotEqual,specification/mysql/resource-manager/Microsoft.DBforMySQL/FlexibleServers/tspconfig.yaml,2024-12-01-preview,sdk/resourcemanager/mysql/armmysqlflexibleservers,2024-10-01-preview,,,
Liftr-Nginx,nginx.nginxplus,nginx,,AlreadyTypeSpec,,,,specification/nginx/Nginx.Management/tspconfig.yaml,2025-03-01-preview,sdk/resourcemanager/nginx/armnginx,2025-03-01-preview,,,
Azure Cosmos DB for PostgreSQL,microsoft.dbforpostgresql,postgresqlhsc,,Done,,,VersionNotEqual,specification/postgresqlhsc/resource-manager/Microsoft.DBforPostgreSQL/PostgresqlHsc/tspconfig.yaml,2023-03-02-preview,sdk/resourcemanager/postgresqlhsc/armpostgresqlhsc,2020-10-05-privatepreview,,,
QuotaManagement,Microsoft.Quota,quota,,AlreadyTypeSpec,,,,specification/quota/resource-manager/Microsoft.Quota/Quota/tspconfig.yaml,2025-09-01,sdk/resourcemanager/quota/armquota,2025-09-01,,,
Backup (MAB),microsoft.recoveryservices,recoveryservicesbackup,,AlreadyTypeSpec,,,VersionNotEqual,specification/recoveryservicesbackup/resource-manager/Microsoft.RecoveryServices/RecoveryServicesBackup/tspconfig.yaml,2025-02-01,sdk/resourcemanager/recoveryservices/armrecoveryservicesbackup,2026-01-01-preview,,,
Redis Cache,microsoft.cache,redis,,Premium,,,,specification/redis/resource-manager/Microsoft.Cache/Redis/tspconfig.yaml,2024-11-01,sdk/resourcemanager/redis/armredis,2024-11-01,,,
Service Bus,microsoft.relay,relay,,Done,,,VersionNotEqual,specification/relay/resource-manager/Microsoft.Relay/Relay/tspconfig.yaml,2024-01-01,sdk/resourcemanager/relay/armrelay,2021-11-01,,,
Service Bus,microsoft.servicebus,servicebus,,Premium,,,VersionNotEqual,specification/servicebus/resource-manager/Microsoft.ServiceBus/ServiceBus/tspconfig.yaml,2025-05-01-preview,sdk/resourcemanager/servicebus/armservicebus,2021-11-01,,,
Azure SignalR Service,Microsoft.SignalRService,signalr,,Done,,,VersionNotEqual,specification/signalr/resource-manager/Microsoft.SignalRService/SignalRService/tspconfig.yaml,2025-01-01-preview,sdk/resourcemanager/signalr/armsignalr,2023-08-01-preview,,,
SRP,microsoft.storage,storage,,Premium,,,,specification/storage/Storage.Management/tspconfig.yaml,2025-06-01,sdk/resourcemanager/storage/armstorage,2025-06-01,,,
Azure Storage Mover,Microsoft.StorageMover,storagemover,,AlreadyTypeSpec,,,VersionNotEqual,specification/storagemover/StorageMover.Management/tspconfig.yaml,2024-07-01,sdk/resourcemanager/storagemover/armstoragemover,2025-07-01,,,
Xsync,microsoft.storagesync,storagesync,,Done,,,VersionNotEqual,specification/storagesync/resource-manager/Microsoft.StorageSync/StorageSync/tspconfig.yaml,2022-09-01,sdk/resourcemanager/storagesync/armstoragesync,2020-09-01,,,
